iter	Passed	Remaining
0	66	66080
1	67	33440
2	67	22553
3	68	17089
4	79	15862
5	140	23307
6	141	20078
7	142	17666
8	143	15773
9	144	14261
10	144	13019
11	145	12011
12	146	11139
13	147	10386
14	162	10670
15	163	10040
16	164	9484
17	164	8991
18	165	8554
19	166	8156
20	167	7796
21	168	7469
22	186	7943
23	192	7817
24	193	7528
25	193	7260
26	195	7037
27	196	6807
28	197	6603
29	198	6404
30	198	6217
31	199	6041
32	212	6236
33	213	6071
34	214	5912
35	215	5764
36	216	5628
37	217	5495
38	218	5380
39	219	5262
40	220	5147
41	220	5037
42	221	4938
43	229	4995
44	240	5100
45	241	5000
46	241	4904
47	246	4897
48	247	4808
49	248	4724
50	249	4641
51	250	4563
52	251	4486
53	251	4411
54	252	4341
55	253	4276
56	254	4210
57	255	4145
58	256	4084
59	342	5372
60	348	5359
61	348	5279
62	349	5202
63	350	5129
64	351	5058
65	352	4987
66	353	4918
67	354	4861
68	355	4797
69	356	4734
70	357	4672
71	366	4720
72	367	4660
73	367	4601
74	368	4545
75	421	5124
76	422	5061
77	423	5000
78	423	4941
79	424	4884
80	425	4827
81	426	4772
82	426	4713
83	427	4659
84	440	4740
85	469	4986
86	469	4932
87	470	4879
88	523	5361
89	524	5305
90	525	5248
91	526	5194
92	527	5140
93	559	5388
94	559	5334
95	560	5280
96	561	5227
97	562	5177
98	622	5661
99	622	5605
100	628	5590
101	628	5537
102	629	5485
103	680	5865
104	681	5809
105	682	5754
106	683	5700
107	684	5656
108	685	5606
109	686	5555
110	687	5507
111	708	5613
112	708	5563
113	709	5514
114	710	5466
115	732	5578
116	732	5529
117	733	5481
118	734	5435
119	735	5394
120	765	5559
121	765	5511
122	770	5496
123	771	5451
124	772	5407
125	773	5364
126	774	5321
127	774	5278
128	775	5237
129	776	5196
130	777	5156
131	782	5144
132	829	5407
133	830	5365
134	831	5325
135	831	5285
136	833	5249
137	834	5210
138	835	5172
139	835	5134
140	836	5097
141	847	5122
142	889	5332
143	891	5298
144	892	5260
145	892	5222
146	893	5186
147	922	5309
148	923	5272
149	923	5235
150	924	5199
151	925	5163
152	926	5128
153	927	5095
154	928	5060
155	929	5026
156	973	5225
157	974	5191
158	974	5156
159	975	5122
160	976	5087
161	977	5054
162	978	5024
163	979	4992
164	1029	5209
165	1030	5176
166	1031	5143
167	1032	5112
168	1057	5199
169	1058	5166
170	1059	5137
171	1060	5104
172	1061	5073
173	1085	5154
174	1097	5173
175	1098	5141
176	1112	5172
177	1113	5141
178	1114	5110
179	1114	5079
180	1115	5048
181	1117	5023
182	1129	5040
183	1129	5010
184	1130	4980
185	1131	4951
186	1132	4922
187	1167	5041
188	1171	5028
189	1172	4999
190	1173	4970
191	1174	4942
192	1175	4913
193	1175	4885
194	1176	4857
195	1177	4830
196	1178	4804
197	1179	4777
198	1190	4792
199	1191	4765
200	1198	4762
201	1205	4761
202	1206	4735
203	1206	4709
204	1211	4699
205	1212	4675
206	1213	4649
207	1214	4624
208	1215	4599
209	1216	4575
210	1217	4550
211	1217	4526
212	1218	4502
213	1223	4494
214	1224	4470
215	1225	4446
216	1225	4423
217	1299	4661
218	1300	4637
219	1301	4613
220	1302	4589
221	1302	4565
222	1303	4542
223	1304	4518
224	1304	4494
225	1391	4766
226	1392	4742
227	1393	4718
228	1394	4694
229	1445	4840
230	1446	4815
231	1447	4790
232	1447	4766
233	1448	4741
234	1449	4718
235	1450	4695
236	1451	4671
237	1451	4648
238	1452	4625
239	1453	4602
240	1454	4581
241	1455	4559
242	1456	4536
243	1469	4553
244	1470	4530
245	1471	4509
246	1472	4488
247	1473	4466
248	1473	4445
249	1474	4424
250	1526	4554
251	1527	4533
252	1528	4512
253	1529	4491
254	1530	4470
255	1530	4449
256	1562	4518
257	1563	4496
258	1564	4475
259	1564	4454
260	1565	4432
261	1566	4412
262	1567	4391
263	1568	4371
264	1568	4351
265	1569	4331
266	1570	4312
267	1571	4292
268	1605	4363
269	1606	4343
270	1607	4324
271	1608	4304
272	1609	4285
273	1609	4265
274	1610	4246
275	1612	4228
276	1612	4209
277	1613	4190
278	1618	4183
279	1619	4164
280	1620	4146
281	1621	4127
282	1622	4109
283	1622	4091
284	1623	4073
285	1624	4055
286	1625	4038
287	1669	4128
288	1670	4110
289	1671	4092
290	1672	4074
291	1673	4057
292	1674	4039
293	1674	4022
294	1675	4004
295	1676	3987
296	1757	4161
297	1758	4143
298	1759	4125
299	1760	4107
300	1761	4090
301	1762	4072
302	1763	4055
303	1812	4148
304	1823	4154
305	1824	4136
306	1824	4119
307	1825	4102
308	1826	4084
309	1828	4068
310	1828	4051
311	1829	4034
312	1834	4026
313	1835	4009
314	1836	3992
315	1836	3976
316	1838	3960
317	1838	3943
318	1839	3927
319	1840	3910
320	1841	3895
321	1842	3879
322	1843	3863
323	1911	3989
324	1914	3976
325	1915	3960
326	1916	3944
327	1917	3927
328	1918	3912
329	1919	3896
330	1937	3916
331	1938	3900
332	1939	3884
333	1940	3868
334	2000	3970
335	2001	3954
336	2003	3940
337	2003	3924
338	2004	3908
339	2066	4010
340	2067	3994
341	2067	3978
342	2068	3962
343	2069	3946
344	2115	4017
345	2116	4000
346	2117	3984
347	2118	3968
348	2119	3952
349	2119	3936
350	2121	3922
351	2122	3906
352	2122	3890
353	2123	3875
354	2124	3860
355	2125	3844
356	2126	3829
357	2135	3829
358	2136	3814
359	2202	3915
360	2203	3899
361	2204	3884
362	2205	3869
363	2205	3854
364	2206	3838
365	2207	3823
366	2208	3808
367	2209	3793
368	2210	3779
369	2210	3764
370	2211	3749
371	2220	3749
372	2249	3781
373	2250	3767
374	2251	3753
375	2252	3738
376	2253	3724
377	2254	3709
378	2255	3695
379	2256	3681
380	2261	3673
381	2262	3659
382	2262	3645
383	2280	3658
384	2281	3644
385	2282	3630
386	2283	3616
387	2283	3602
388	2284	3588
389	2285	3574
390	2286	3561
391	2287	3547
392	2288	3533
393	2288	3520
394	2293	3513
395	2294	3500
396	2295	3486
397	2296	3473
398	2360	3556
399	2361	3542
400	2362	3529
401	2363	3515
402	2364	3502
403	2365	3489
404	2365	3475
405	2366	3462
406	2367	3449
407	2368	3436
408	2369	3423
409	2442	3514
410	2443	3501
411	2443	3488
412	2444	3474
413	2445	3461
414	2446	3448
415	2447	3435
416	2447	3422
417	2448	3409
418	2449	3396
419	2450	3383
420	2451	3371
421	2465	3376
422	2498	3408
423	2499	3395
424	2500	3382
425	2501	3370
426	2502	3357
427	2545	3401
428	2545	3388
429	2546	3375
430	2547	3363
431	2548	3350
432	2570	3366
433	2571	3353
434	2572	3341
435	2574	3329
436	2574	3317
437	2575	3305
438	2576	3292
439	2577	3281
440	2578	3268
441	2579	3256
442	2580	3244
443	2581	3232
444	2582	3220
445	2582	3208
446	2583	3196
447	2661	3278
448	2661	3266
449	2662	3254
450	2663	3242
451	2676	3244
452	2677	3232
453	2678	3220
454	2687	3218
455	2687	3206
456	2688	3194
457	2689	3183
458	2690	3171
459	2691	3159
460	2692	3147
461	2693	3136
462	2693	3124
463	2694	3112
464	2695	3101
465	2696	3089
466	2697	3078
467	2706	3076
468	2707	3065
469	2708	3054
470	2709	3042
471	2710	3031
472	2710	3020
473	2711	3009
474	2768	3060
475	2769	3048
476	2770	3037
477	2771	3026
478	2772	3015
479	2773	3004
480	2774	2993
481	2775	2982
482	2776	2971
483	2777	2960
484	2820	2994
485	2821	2983
486	2822	2972
487	2822	2961
488	2823	2950
489	2824	2940
490	2825	2929
491	2834	2926
492	2835	2915
493	2836	2905
494	2837	2894
495	2845	2891
496	2846	2881
497	2847	2870
498	2848	2859
499	2849	2849
500	2878	2866
501	2879	2856
502	2879	2845
503	2880	2834
504	2888	2831
505	2917	2848
506	2918	2837
507	2919	2827
508	2919	2816
509	2920	2806
510	2921	2795
511	2922	2785
512	2923	2775
513	2924	2764
514	2925	2754
515	2925	2744
516	2926	2734
517	2935	2731
518	2936	2721
519	2937	2711
520	2938	2701
521	2938	2691
522	2939	2681
523	2940	2671
524	2947	2666
525	2948	2656
526	2969	2665
527	2970	2655
528	2970	2645
529	2993	2655
530	2994	2645
531	2995	2635
532	2996	2625
533	2997	2615
534	2999	2606
535	2999	2596
536	3000	2587
537	3050	2619
538	3051	2609
539	3052	2600
540	3053	2590
541	3054	2580
542	3101	2610
543	3102	2600
544	3103	2591
545	3104	2581
546	3105	2571
547	3106	2562
548	3107	2552
549	3107	2542
550	3108	2533
551	3113	2527
552	3114	2517
553	3115	2508
554	3116	2498
555	3125	2495
556	3126	2486
557	3126	2476
558	3127	2467
559	3128	2458
560	3180	2488
561	3181	2479
562	3182	2470
563	3183	2460
564	3184	2451
